1 84
2 84
3 84
4 84
5 84
6 84
7 84
8 84
9 84
10 0
11 84
12 84
13 84
14 84
15 84
16 84
17 84
18 84
19 84
20 84
21 84
22 84
23 84
24 0
25 84
26 84
27 84
28 84
29 84
30 84
31 84
32 84
33 84
34 84
35 84
36 84
37 84
38 84
39 84
40 84
41 84
42 84
43 84
44 84
45 84
46 84
47 84
48 84
49 84
50 84
51 84
52 84
53 84
54 84
55 84
56 84
57 84
58 84
59 84
60 84
61 84
62 84
63 84
64 84
65 84
66 84
67 84
68 84
69 84
70 84
71 84
72 84
73 84
74 84
75 84
76 84
77 0
78 84
79 84
80 84
81 84
82 84
83 84
84 84
85 84
86 84
87 84
88 84
89 84
90 84
91 84
92 84
93 84
94 84
95 84
96 84
97 84
98 84
99 84
100 84



